ligand_id,score_cox1,score_cox2,geo_score,QSAR_score,qsar_norm,geo_norm,vina_norm,final_score
A31C127S,-7.6,-7.44,3.0,4.672889131814704,1.0,0.6086956521739131,0.34782608695652173,0.7783
A113C502S,-9.24,-9.35,3.0,6.31212344109429,0.8695652173913043,0.6086956521739131,1.0,0.7783
A113C561S,-8.11,-8.75,3.0,6.551371151022358,0.8260869565217391,0.6086956521739131,0.8695652173913043,0.7435
A67C77S,-6.64,-7.36,3.0,5.669321519289314,0.9130434782608696,0.6086956521739131,0.21739130434782605,0.7217
A67C141N247,-7.46,-8.26,3.0,6.611663719644031,0.782608695652174,0.6086956521739131,0.6956521739130435,0.7043
A113C177S,-8.1,-8.79,3.0,6.7031560840370075,0.6956521739130435,0.6086956521739131,0.9565217391304348,0.687
A34C141N277,-8.42,-8.16,3.0,6.731200546216822,0.6521739130434783,0.6086956521739131,0.6304347826086957,0.6326
A29C362S,-7.58,-8.4,1.0,5.555026160797937,0.9565217391304348,0.08695652173913043,0.782608695652174,0.5913
A29C362N101,-7.22,-8.16,3.0,6.8805812997995766,0.5652173913043479,0.6086956521739131,0.6304347826086957,0.5891
A31C77N76,-7.79,-6.96,3.0,6.8317531229196815,0.6086956521739131,0.6086956521739131,0.08695652173913049,0.5565
A31C141N247,-7.49,-7.99,3.0,7.005670629963351,0.4782608695652174,0.6086956521739131,0.5652173913043479,0.5391
A29C141N261,-7.59,-7.42,3.0,7.26948173518451,0.4347826086956522,0.6086956521739131,0.30434782608695654,0.4913
A31C141N313,-8.21,-7.92,3.0,7.45740258262894,0.34782608695652173,0.6086956521739131,0.5,0.4674
A97C141S,-6.57,-7.72,1.0,6.639691161340116,0.7391304347826086,0.08695652173913043,0.4347826086956522,0.4478
A31C141N240,-7.99,-5.52,3.0,7.367607445652523,0.3913043478260869,0.6086956521739131,0.0,0.4391
A67C362N76,-8.15,-7.92,3.0,7.709172697504005,0.26086956521739135,0.6086956521739131,0.5,0.4239
A31C362S,-7.93,-8.39,3.0,8.27328974585209,0.13043478260869568,0.6086956521739131,0.7391304347826086,0.3826
A31C561S,-8.11,-7.13,3.0,7.848365225611136,0.21739130434782605,0.6086956521739131,0.17391304347826086,0.3696
A67C141N112,-8.53,-8.76,3.0,9.5067540646351,0.0,0.6086956521739131,0.9130434782608696,0.3348
A31C141N76,-8.1,-7.49,1.0,6.970343054797231,0.5217391304347826,0.08695652173913043,0.3913043478260869,0.3348
A67C561N101,-7.76,-6.48,3.0,8.372785688364367,0.08695652173913049,0.6086956521739131,0.04347826086956519,0.2913
A36C141N247,-7.67,-7.04,3.0,8.42858104797323,0.04347826086956519,0.6086956521739131,0.13043478260869568,0.2783
A31C362N76,-8.52,-8.59,1.0,7.485896312688813,0.30434782608695654,0.08695652173913043,0.8260869565217391,0.2696
A31C362N79,-7.66,-7.37,1.0,8.26738498337032,0.17391304347826086,0.08695652173913043,0.26086956521739135,0.1478
